"date","hour","total_infection","datetime","cumulative_case"
"12/1/2023","7:00:00",0,2023-12-01 07:00:00,236
"12/1/2023","8:00:00",0,2023-12-01 08:00:00,236
"12/1/2023","9:00:00",0,2023-12-01 09:00:00,236
"12/1/2023","10:00:00",1,2023-12-01 10:00:00,237
"12/1/2023","11:00:00",0,2023-12-01 11:00:00,237
"12/1/2023","12:00:00",0,2023-12-01 12:00:00,237
"12/1/2023","13:00:00",0,2023-12-01 13:00:00,237
"12/1/2023","14:00:00",0,2023-12-01 14:00:00,237
"12/1/2023","15:00:00",0,2023-12-01 15:00:00,237
"12/1/2023","16:00:00",0,2023-12-01 16:00:00,237
"12/1/2023","17:00:00",0,2023-12-01 17:00:00,237
"12/1/2023","18:00:00",0,2023-12-01 18:00:00,237
"12/1/2023","19:00:00",1,2023-12-01 19:00:00,238
"12/1/2023","20:00:00",0,2023-12-01 20:00:00,238
"12/1/2023","21:00:00",2,2023-12-01 21:00:00,240
"12/1/2023","22:00:00",1,2023-12-01 22:00:00,241
"12/1/2023","23:00:00",0,2023-12-01 23:00:00,241
"12/2/2023","0:00:00",0,2023-12-02,241
"12/2/2023","1:00:00",0,2023-12-02 01:00:00,241
"12/2/2023","2:00:00",0,2023-12-02 02:00:00,241
"12/2/2023","3:00:00",0,2023-12-02 03:00:00,241
"12/2/2023","4:00:00",0,2023-12-02 04:00:00,241
"12/2/2023","5:00:00",0,2023-12-02 05:00:00,241
"12/2/2023","6:00:00",0,2023-12-02 06:00:00,241
"12/2/2023","7:00:00",0,2023-12-02 07:00:00,241
"12/2/2023","8:00:00",0,2023-12-02 08:00:00,241
"12/2/2023","9:00:00",0,2023-12-02 09:00:00,241
"12/2/2023","10:00:00",0,2023-12-02 10:00:00,241
"12/2/2023","11:00:00",0,2023-12-02 11:00:00,241
"12/2/2023","12:00:00",0,2023-12-02 12:00:00,241
"12/2/2023","13:00:00",0,2023-12-02 13:00:00,241
"12/2/2023","14:00:00",0,2023-12-02 14:00:00,241
"12/2/2023","15:00:00",0,2023-12-02 15:00:00,241
"12/2/2023","16:00:00",0,2023-12-02 16:00:00,241
"12/2/2023","17:00:00",0,2023-12-02 17:00:00,241
"12/2/2023","18:00:00",0,2023-12-02 18:00:00,241
"12/2/2023","19:00:00",0,2023-12-02 19:00:00,241
"12/2/2023","20:00:00",1,2023-12-02 20:00:00,242
"12/2/2023","21:00:00",0,2023-12-02 21:00:00,242
"12/2/2023","22:00:00",0,2023-12-02 22:00:00,242
"12/2/2023","23:00:00",0,2023-12-02 23:00:00,242
"12/3/2023","0:00:00",0,2023-12-03,242
"12/3/2023","1:00:00",1,2023-12-03 01:00:00,243
"12/3/2023","2:00:00",0,2023-12-03 02:00:00,243
"12/3/2023","3:00:00",0,2023-12-03 03:00:00,243
"12/3/2023","4:00:00",1,2023-12-03 04:00:00,244
"12/3/2023","5:00:00",2,2023-12-03 05:00:00,246
"12/3/2023","6:00:00",0,2023-12-03 06:00:00,246
"12/3/2023","7:00:00",1,2023-12-03 07:00:00,247
"12/3/2023","8:00:00",1,2023-12-03 08:00:00,248
"12/3/2023","9:00:00",0,2023-12-03 09:00:00,248
"12/3/2023","10:00:00",0,2023-12-03 10:00:00,248
"12/3/2023","11:00:00",0,2023-12-03 11:00:00,248
"12/3/2023","12:00:00",0,2023-12-03 12:00:00,248
"12/3/2023","13:00:00",0,2023-12-03 13:00:00,248
"12/3/2023","14:00:00",0,2023-12-03 14:00:00,248
"12/3/2023","15:00:00",0,2023-12-03 15:00:00,248
"12/3/2023","16:00:00",0,2023-12-03 16:00:00,248
"12/3/2023","17:00:00",0,2023-12-03 17:00:00,248
"12/3/2023","18:00:00",0,2023-12-03 18:00:00,248
"12/3/2023","19:00:00",0,2023-12-03 19:00:00,248
"12/3/2023","20:00:00",0,2023-12-03 20:00:00,248
"12/3/2023","21:00:00",0,2023-12-03 21:00:00,248
"12/3/2023","22:00:00",0,2023-12-03 22:00:00,248
"12/3/2023","23:00:00",0,2023-12-03 23:00:00,248
"12/4/2023","0:00:00",0,2023-12-04,248
"12/4/2023","1:00:00",0,2023-12-04 01:00:00,248
"12/4/2023","2:00:00",0,2023-12-04 02:00:00,248
"12/4/2023","3:00:00",0,2023-12-04 03:00:00,248
"12/4/2023","4:00:00",0,2023-12-04 04:00:00,248
"12/4/2023","5:00:00",0,2023-12-04 05:00:00,248
"12/4/2023","6:00:00",0,2023-12-04 06:00:00,248
"12/4/2023","7:00:00",0,2023-12-04 07:00:00,248
"12/4/2023","8:00:00",0,2023-12-04 08:00:00,248
"12/4/2023","9:00:00",0,2023-12-04 09:00:00,248
"12/4/2023","10:00:00",0,2023-12-04 10:00:00,248
"12/4/2023","11:00:00",0,2023-12-04 11:00:00,248
"12/4/2023","12:00:00",0,2023-12-04 12:00:00,248
"12/4/2023","13:00:00",0,2023-12-04 13:00:00,248
"12/4/2023","14:00:00",0,2023-12-04 14:00:00,248
"12/4/2023","15:00:00",0,2023-12-04 15:00:00,248
"12/4/2023","16:00:00",0,2023-12-04 16:00:00,248
"12/4/2023","17:00:00",0,2023-12-04 17:00:00,248
"12/4/2023","18:00:00",0,2023-12-04 18:00:00,248
"12/4/2023","19:00:00",2,2023-12-04 19:00:00,250
"12/4/2023","20:00:00",0,2023-12-04 20:00:00,250
"12/4/2023","21:00:00",2,2023-12-04 21:00:00,252
